idx	mT	mS	rho
1	0.25	0.25	0
2	0.25	0.25	0
3	0.25	0.25	0
4	0.25	0.25	0
5	0.25	0.25	0
6	0.25	0.25	0
7	0.25	0.25	0
8	0.25	0.25	0
9	0.25	0.25	0
10	0.25	0.25	0
1	0.5	0.25	0
2	0.5	0.25	0
3	0.5	0.25	0
4	0.5	0.25	0
5	0.5	0.25	0
6	0.5	0.25	0
7	0.5	0.25	0
8	0.5	0.25	0
9	0.5	0.25	0
10	0.5	0.25	0
1	0.25	0.5	0
2	0.25	0.5	0
3	0.25	0.5	0
4	0.25	0.5	0
5	0.25	0.5	0
6	0.25	0.5	0
7	0.25	0.5	0
8	0.25	0.5	0
9	0.25	0.5	0
10	0.25	0.5	0
1	0.25	0.25	0.25
2	0.25	0.25	0.25
3	0.25	0.25	0.25
4	0.25	0.25	0.25
5	0.25	0.25	0.25
6	0.25	0.25	0.25
7	0.25	0.25	0.25
8	0.25	0.25	0.25
9	0.25	0.25	0.25
10	0.25	0.25	0.25
1	0.5	0.25	0.25
2	0.5	0.25	0.25
3	0.5	0.25	0.25
4	0.5	0.25	0.25
5	0.5	0.25	0.25
6	0.5	0.25	0.25
7	0.5	0.25	0.25
8	0.5	0.25	0.25
9	0.5	0.25	0.25
10	0.5	0.25	0.25
1	0.25	0.5	0.25
2	0.25	0.5	0.25
3	0.25	0.5	0.25
4	0.25	0.5	0.25
5	0.25	0.5	0.25
6	0.25	0.5	0.25
7	0.25	0.5	0.25
8	0.25	0.5	0.25
9	0.25	0.5	0.25
10	0.25	0.5	0.25
1	0.25	0.25	0.5
2	0.25	0.25	0.5
3	0.25	0.25	0.5
4	0.25	0.25	0.5
5	0.25	0.25	0.5
6	0.25	0.25	0.5
7	0.25	0.25	0.5
8	0.25	0.25	0.5
9	0.25	0.25	0.5
10	0.25	0.25	0.5
1	0.5	0.25	0.5
2	0.5	0.25	0.5
3	0.5	0.25	0.5
4	0.5	0.25	0.5
5	0.5	0.25	0.5
6	0.5	0.25	0.5
7	0.5	0.25	0.5
8	0.5	0.25	0.5
9	0.5	0.25	0.5
10	0.5	0.25	0.5
1	0.25	0.5	0.5
2	0.25	0.5	0.5
3	0.25	0.5	0.5
4	0.25	0.5	0.5
5	0.25	0.5	0.5
6	0.25	0.5	0.5
7	0.25	0.5	0.5
8	0.25	0.5	0.5
9	0.25	0.5	0.5
10	0.25	0.5	0.5
1	0.25	0.25	0.75
2	0.25	0.25	0.75
3	0.25	0.25	0.75
4	0.25	0.25	0.75
5	0.25	0.25	0.75
6	0.25	0.25	0.75
7	0.25	0.25	0.75
8	0.25	0.25	0.75
9	0.25	0.25	0.75
10	0.25	0.25	0.75
1	0.5	0.25	0.75
2	0.5	0.25	0.75
3	0.5	0.25	0.75
4	0.5	0.25	0.75
5	0.5	0.25	0.75
6	0.5	0.25	0.75
7	0.5	0.25	0.75
8	0.5	0.25	0.75
9	0.5	0.25	0.75
10	0.5	0.25	0.75
1	0.25	0.5	0.75
2	0.25	0.5	0.75
3	0.25	0.5	0.75
4	0.25	0.5	0.75
5	0.25	0.5	0.75
6	0.25	0.5	0.75
7	0.25	0.5	0.75
8	0.25	0.5	0.75
9	0.25	0.5	0.75
10	0.25	0.5	0.75
